,Topic
14497,Coronary Heart Disease
26464,Heart Failure
9784,Acute Myocardial Infarction (Heart Attack)
42613,Stroke
41883,Stroke
16149,Coronary Heart Disease
30485,Heart Failure
20587,Heart Failure
41925,Stroke
20843,Heart Failure
32224,Heart Failure
19520,Heart Failure
1618,Major Cardiovascular Disease
28796,Heart Failure
1277,Major Cardiovascular Disease
23196,Heart Failure
39939,Stroke
3735,Major Cardiovascular Disease
25297,Heart Failure
18010,Coronary Heart Disease
25316,Heart Failure
7757,Diseases of the Heart (Heart Disease)
22408,Heart Failure
24750,Heart Failure
38352,Heart Failure
16403,Coronary Heart Disease
17036,Coronary Heart Disease
42440,Stroke
832,Major Cardiovascular Disease
15042,Acute Myocardial Infarction (Heart Attack)
9109,Acute Myocardial Infarction (Heart Attack)
33658,Heart Failure
33531,Heart Failure
14025,Coronary Heart Disease
12947,Acute Myocardial Infarction (Heart Attack)
38783,Stroke
23116,Heart Failure
25505,Heart Failure
34765,Heart Failure
23417,Heart Failure
3924,Major Cardiovascular Disease
1570,Major Cardiovascular Disease
30980,Heart Failure
41542,Stroke
29540,Heart Failure
9503,Acute Myocardial Infarction (Heart Attack)
9640,Acute Myocardial Infarction (Heart Attack)
591,Major Cardiovascular Disease
11061,Acute Myocardial Infarction (Heart Attack)
25666,Heart Failure
5166,Diseases of the Heart (Heart Disease)
41595,Stroke
41833,Stroke
8766,Diseases of the Heart (Heart Disease)
6955,Diseases of the Heart (Heart Disease)
12904,Acute Myocardial Infarction (Heart Attack)
20829,Heart Failure
42076,Stroke
41487,Stroke
23714,Heart Failure
38942,Stroke
28676,Heart Failure
5724,Major Cardiovascular Disease
11828,Acute Myocardial Infarction (Heart Attack)
30855,Heart Failure
33578,Heart Failure
20466,Heart Failure
10083,Diseases of the Heart (Heart Disease)
34779,Heart Failure
28308,Heart Failure
24382,Heart Failure
20793,Heart Failure
34145,Heart Failure
26187,Heart Failure
41921,Stroke
27892,Heart Failure
30889,Heart Failure
22149,Heart Failure
29989,Heart Failure
31454,Heart Failure
35434,Heart Failure
13324,Coronary Heart Disease
13826,Coronary Heart Disease
30066,Heart Failure
8798,Diseases of the Heart (Heart Disease)
40073,Stroke
8341,Diseases of the Heart (Heart Disease)
874,Major Cardiovascular Disease
36626,Stroke
23378,Heart Failure
37298,Heart Failure
31679,Heart Failure
10133,Diseases of the Heart (Heart Disease)
7938,Diseases of the Heart (Heart Disease)
13056,Acute Myocardial Infarction (Heart Attack)
33157,Heart Failure
15274,Coronary Heart Disease
32040,Heart Failure
26756,Heart Failure
20473,Heart Failure
38218,Heart Failure
40297,Stroke
30097,Heart Failure
17986,Heart Failure
6315,Diseases of the Heart (Heart Disease)
39626,Stroke
22608,Heart Failure
41665,Stroke
11085,Acute Myocardial Infarction (Heart Attack)
21896,Heart Failure
33645,Heart Failure
12247,Acute Myocardial Infarction (Heart Attack)
10618,Acute Myocardial Infarction (Heart Attack)
31336,Heart Failure
27198,Heart Failure
18486,Coronary Heart Disease
11668,Acute Myocardial Infarction (Heart Attack)
32496,Heart Failure
20383,Heart Failure
18473,Coronary Heart Disease
35496,Heart Failure
41916,Stroke
39461,Stroke
9741,Acute Myocardial Infarction (Heart Attack)
21297,Heart Failure
9131,Acute Myocardial Infarction (Heart Attack)
35018,Heart Failure
34379,Heart Failure
39221,Stroke
30488,Heart Failure
10677,Acute Myocardial Infarction (Heart Attack)
39838,Stroke
29445,Heart Failure
19042,Coronary Heart Disease
27317,Heart Failure
38369,Heart Failure
31958,Heart Failure
23808,Heart Failure
10150,Acute Myocardial Infarction (Heart Attack)
16111,Coronary Heart Disease
4024,Major Cardiovascular Disease
2932,Major Cardiovascular Disease
42294,Stroke
32272,Heart Failure
5602,Diseases of the Heart (Heart Disease)
1410,Major Cardiovascular Disease
20743,Heart Failure
12686,Acute Myocardial Infarction (Heart Attack)
1021,Major Cardiovascular Disease
39404,Stroke
22290,Heart Failure
322,Major Cardiovascular Disease
18354,Heart Failure
32291,Heart Failure
15860,Coronary Heart Disease
3921,Major Cardiovascular Disease
14852,Coronary Heart Disease
40035,Stroke
7651,Diseases of the Heart (Heart Disease)
10282,Acute Myocardial Infarction (Heart Attack)
17777,Coronary Heart Disease
38747,Stroke
39925,Stroke
513,Major Cardiovascular Disease
39057,Stroke
16627,Coronary Heart Disease
22304,Heart Failure
13678,Coronary Heart Disease
23357,Heart Failure
37553,Heart Failure
27983,Heart Failure
20291,Heart Failure
6354,Diseases of the Heart (Heart Disease)
7372,Diseases of the Heart (Heart Disease)
839,Major Cardiovascular Disease
24321,Heart Failure
18478,Coronary Heart Disease
8432,Diseases of the Heart (Heart Disease)
24829,Heart Failure
30479,Heart Failure
18304,Coronary Heart Disease
33691,Heart Failure
41880,Stroke
5796,Diseases of the Heart (Heart Disease)
5848,Diseases of the Heart (Heart Disease)
17367,Coronary Heart Disease
19085,Heart Failure
19832,Heart Failure
33409,Heart Failure
19630,Heart Failure
40154,Stroke
23929,Heart Failure
32858,Heart Failure
20264,Heart Failure
7729,Diseases of the Heart (Heart Disease)
33684,Heart Failure
3123,Major Cardiovascular Disease
40468,Stroke
33848,Heart Failure
43,Major Cardiovascular Disease
41231,Stroke
5307,Diseases of the Heart (Heart Disease)
34138,Heart Failure
33383,Heart Failure
37283,Heart Failure
6975,Diseases of the Heart (Heart Disease)
17400,Coronary Heart Disease
5481,Diseases of the Heart (Heart Disease)
21995,Heart Failure
34432,Heart Failure
28346,Heart Failure
39654,Stroke
4828,Diseases of the Heart (Heart Disease)
28517,Heart Failure
22,Major Cardiovascular Disease
21170,Heart Failure
33490,Heart Failure
17488,Coronary Heart Disease
33814,Heart Failure
7383,Diseases of the Heart (Heart Disease)
5055,Diseases of the Heart (Heart Disease)
1097,Major Cardiovascular Disease
15085,Coronary Heart Disease
9840,Acute Myocardial Infarction (Heart Attack)
22645,Heart Failure
14596,Coronary Heart Disease
38455,Heart Failure
25960,Heart Failure
37375,Heart Failure
15471,Acute Myocardial Infarction (Heart Attack)
39724,Stroke
17493,Coronary Heart Disease
1586,Major Cardiovascular Disease
39619,Stroke
35948,Heart Failure
8762,Acute Myocardial Infarction (Heart Attack)
33438,Heart Failure
31171,Heart Failure
40816,Stroke
22751,Heart Failure
32321,Heart Failure
29463,Heart Failure
16952,Coronary Heart Disease
12320,Acute Myocardial Infarction (Heart Attack)
35963,Heart Failure
4382,Diseases of the Heart (Heart Disease)
1250,Major Cardiovascular Disease
11352,Acute Myocardial Infarction (Heart Attack)
6795,Diseases of the Heart (Heart Disease)
19923,Heart Failure
37640,Stroke
35425,Heart Failure
19754,Heart Failure
24575,Heart Failure
27199,Heart Failure
39449,Stroke
33464,Heart Failure
32136,Heart Failure
17608,Coronary Heart Disease
298,Major Cardiovascular Disease
2663,Major Cardiovascular Disease
12392,Acute Myocardial Infarction (Heart Attack)
15805,Coronary Heart Disease
40155,Stroke
32432,Heart Failure
29210,Heart Failure
2196,Major Cardiovascular Disease
16328,Coronary Heart Disease
37901,Heart Failure
28238,Heart Failure
31810,Heart Failure
28359,Heart Failure
18554,Heart Failure
37778,Heart Failure
18971,Coronary Heart Disease
39047,Stroke
20306,Heart Failure
16930,Coronary Heart Disease
21263,Heart Failure
20999,Heart Failure
39400,Stroke
10891,Acute Myocardial Infarction (Heart Attack)
16800,Coronary Heart Disease
30137,Heart Failure
40257,Stroke
24139,Heart Failure
15255,Coronary Heart Disease
40541,Stroke
35993,Heart Failure
12649,Acute Myocardial Infarction (Heart Attack)
36432,Heart Failure
40672,Stroke
29262,Heart Failure
2589,Major Cardiovascular Disease
21632,Heart Failure
3757,Major Cardiovascular Disease
33636,Heart Failure
2902,Major Cardiovascular Disease
24585,Heart Failure
30621,Heart Failure
24560,Heart Failure
7605,Diseases of the Heart (Heart Disease)
28970,Heart Failure
25615,Heart Failure
6289,Major Cardiovascular Disease
21413,Heart Failure
5458,Major Cardiovascular Disease
39243,Stroke
4589,Diseases of the Heart (Heart Disease)
31966,Heart Failure
4921,Diseases of the Heart (Heart Disease)
25124,Heart Failure
20327,Heart Failure
7393,Diseases of the Heart (Heart Disease)
15427,Acute Myocardial Infarction (Heart Attack)
39052,Stroke
35847,Heart Failure
5700,Diseases of the Heart (Heart Disease)
25523,Heart Failure
24146,Heart Failure
32080,Heart Failure
2642,Major Cardiovascular Disease
4899,Major Cardiovascular Disease
29274,Heart Failure
475,Major Cardiovascular Disease
11123,Acute Myocardial Infarction (Heart Attack)
29184,Heart Failure
5337,Diseases of the Heart (Heart Disease)
10485,Acute Myocardial Infarction (Heart Attack)
38913,Stroke
6917,Diseases of the Heart (Heart Disease)
36472,Heart Failure
11723,Acute Myocardial Infarction (Heart Attack)
21215,Heart Failure
10988,Acute Myocardial Infarction (Heart Attack)
34291,Heart Failure
639,Major Cardiovascular Disease
2339,Major Cardiovascular Disease
28560,Heart Failure
41570,Stroke
806,Major Cardiovascular Disease
37936,Stroke
25418,Heart Failure
2067,Major Cardiovascular Disease
1273,Major Cardiovascular Disease
13483,Coronary Heart Disease
8894,Acute Myocardial Infarction (Heart Attack)
24268,Heart Failure
33404,Heart Failure
10334,Acute Myocardial Infarction (Heart Attack)
11802,Acute Myocardial Infarction (Heart Attack)
1170,Major Cardiovascular Disease
5410,Diseases of the Heart (Heart Disease)
1264,Major Cardiovascular Disease
37081,Heart Failure
41549,Stroke
3950,Major Cardiovascular Disease
26639,Heart Failure
25054,Heart Failure
3350,Major Cardiovascular Disease
17401,Coronary Heart Disease
20170,Heart Failure
6978,Diseases of the Heart (Heart Disease)
34420,Heart Failure
26024,Heart Failure
18947,Coronary Heart Disease
10939,Acute Myocardial Infarction (Heart Attack)
28384,Heart Failure
31316,Heart Failure
34926,Heart Failure
41872,Stroke
16278,Coronary Heart Disease
40691,Stroke
39424,Stroke
24540,Heart Failure
7392,Diseases of the Heart (Heart Disease)
9391,Acute Myocardial Infarction (Heart Attack)
26460,Heart Failure
21347,Heart Failure
9270,Acute Myocardial Infarction (Heart Attack)
33875,Heart Failure
30176,Heart Failure
29481,Heart Failure
36601,Heart Failure
34113,Heart Failure
15893,Coronary Heart Disease
21099,Heart Failure
6263,Diseases of the Heart (Heart Disease)
19783,Coronary Heart Disease
3363,Major Cardiovascular Disease
13765,Coronary Heart Disease
25736,Heart Failure
25750,Heart Failure
483,Major Cardiovascular Disease
31893,Heart Failure
36282,Heart Failure
4225,Major Cardiovascular Disease
14521,Coronary Heart Disease
38260,Heart Failure
22460,Heart Failure
31510,Heart Failure
24218,Heart Failure
10714,Diseases of the Heart (Heart Disease)
36876,Heart Failure
14864,Coronary Heart Disease
31096,Heart Failure
7916,Diseases of the Heart (Heart Disease)
9997,Diseases of the Heart (Heart Disease)
4188,Major Cardiovascular Disease
14024,Coronary Heart Disease
35622,Heart Failure
17407,Coronary Heart Disease
12322,Acute Myocardial Infarction (Heart Attack)
18258,Heart Failure
36548,Stroke
25674,Heart Failure
34574,Heart Failure
181,Major Cardiovascular Disease
22538,Heart Failure
2869,Major Cardiovascular Disease
39986,Stroke
6606,Diseases of the Heart (Heart Disease)
1731,Major Cardiovascular Disease
39653,Stroke
18713,Heart Failure
11283,Acute Myocardial Infarction (Heart Attack)
31515,Heart Failure
32208,Heart Failure
12625,Acute Myocardial Infarction (Heart Attack)
6275,Major Cardiovascular Disease
1670,Major Cardiovascular Disease
7888,Diseases of the Heart (Heart Disease)
4000,Major Cardiovascular Disease
14643,Coronary Heart Disease
36574,Heart Failure
2140,Major Cardiovascular Disease
24179,Heart Failure
29324,Heart Failure
3643,Major Cardiovascular Disease
22677,Heart Failure
32005,Heart Failure
33212,Heart Failure
31712,Heart Failure
12335,Acute Myocardial Infarction (Heart Attack)
39419,Stroke
27505,Heart Failure
18261,Heart Failure
28870,Heart Failure
2152,Major Cardiovascular Disease
30738,Heart Failure
35188,Heart Failure
18991,Coronary Heart Disease
7398,Diseases of the Heart (Heart Disease)
34136,Heart Failure
22459,Heart Failure
33275,Heart Failure
40646,Stroke
34181,Heart Failure
35676,Heart Failure
24388,Heart Failure
21862,Heart Failure
12097,Acute Myocardial Infarction (Heart Attack)
7365,Diseases of the Heart (Heart Disease)
23371,Heart Failure
8407,Diseases of the Heart (Heart Disease)
13156,Acute Myocardial Infarction (Heart Attack)
17282,Coronary Heart Disease
7429,Diseases of the Heart (Heart Disease)
26014,Heart Failure
15716,Coronary Heart Disease
40229,Stroke
38986,Stroke
8457,Diseases of the Heart (Heart Disease)
15401,Acute Myocardial Infarction (Heart Attack)
2063,Major Cardiovascular Disease
17366,Coronary Heart Disease
24018,Heart Failure
18381,Coronary Heart Disease
36420,Heart Failure
29090,Heart Failure
8244,Diseases of the Heart (Heart Disease)
36163,Heart Failure
3298,Major Cardiovascular Disease
4746,Major Cardiovascular Disease
34053,Heart Failure
23521,Heart Failure
16549,Coronary Heart Disease
32709,Heart Failure
13133,Acute Myocardial Infarction (Heart Attack)
6239,Major Cardiovascular Disease
23601,Heart Failure
5554,Diseases of the Heart (Heart Disease)
20669,Heart Failure
32817,Heart Failure
41235,Stroke
38057,Heart Failure
5949,Diseases of the Heart (Heart Disease)
31704,Heart Failure
38585,Stroke
3076,Major Cardiovascular Disease
30654,Heart Failure
1867,Major Cardiovascular Disease
32389,Heart Failure
12532,Acute Myocardial Infarction (Heart Attack)
9980,Acute Myocardial Infarction (Heart Attack)
40480,Stroke
5178,Diseases of the Heart (Heart Disease)
40583,Stroke
21004,Heart Failure
38993,Stroke
567,Major Cardiovascular Disease
18288,Coronary Heart Disease
29124,Heart Failure
13578,Acute Myocardial Infarction (Heart Attack)
16605,Coronary Heart Disease
34497,Heart Failure
9573,Diseases of the Heart (Heart Disease)
26070,Heart Failure
32342,Heart Failure
1263,Major Cardiovascular Disease
37790,Stroke
40982,Stroke
25734,Heart Failure
7314,Diseases of the Heart (Heart Disease)
25147,Heart Failure
40727,Stroke
27605,Heart Failure
38167,Stroke
11800,Acute Myocardial Infarction (Heart Attack)
23091,Heart Failure
10292,Diseases of the Heart (Heart Disease)
345,Major Cardiovascular Disease
27106,Heart Failure
6831,Diseases of the Heart (Heart Disease)
9831,Diseases of the Heart (Heart Disease)
16045,Coronary Heart Disease
12085,Acute Myocardial Infarction (Heart Attack)
33289,Heart Failure
8186,Diseases of the Heart (Heart Disease)
31125,Heart Failure
23041,Heart Failure
11125,Acute Myocardial Infarction (Heart Attack)
40061,Stroke
14317,Coronary Heart Disease
21771,Heart Failure
28476,Heart Failure
6329,Diseases of the Heart (Heart Disease)
29934,Heart Failure
30806,Heart Failure
41835,Stroke
36672,Stroke
37058,Heart Failure
30202,Heart Failure
39583,Stroke
18133,Heart Failure
13934,Coronary Heart Disease
15,Major Cardiovascular Disease
26079,Heart Failure
41334,Stroke
15955,Coronary Heart Disease
42250,Stroke
29362,Heart Failure
26142,Heart Failure
26118,Heart Failure
217,Major Cardiovascular Disease
2065,Major Cardiovascular Disease
32254,Heart Failure
22218,Heart Failure
8816,Diseases of the Heart (Heart Disease)
29972,Heart Failure
27036,Heart Failure
37109,Heart Failure
14755,Acute Myocardial Infarction (Heart Attack)
12301,Acute Myocardial Infarction (Heart Attack)
23285,Heart Failure
26786,Heart Failure
27111,Heart Failure
36629,Stroke
270,Major Cardiovascular Disease
793,Major Cardiovascular Disease
3287,Major Cardiovascular Disease
41221,Stroke
16291,Coronary Heart Disease
13780,Acute Myocardial Infarction (Heart Attack)
1106,Major Cardiovascular Disease
29553,Heart Failure
2205,Major Cardiovascular Disease
14265,Coronary Heart Disease
30609,Heart Failure
36367,Heart Failure
38055,Stroke
11938,Acute Myocardial Infarction (Heart Attack)
29369,Heart Failure
16776,Coronary Heart Disease
30206,Heart Failure
1388,Major Cardiovascular Disease
37560,Heart Failure
14968,Coronary Heart Disease
22714,Heart Failure
3246,Major Cardiovascular Disease
23433,Heart Failure
27279,Heart Failure
15745,Coronary Heart Disease
5148,Diseases of the Heart (Heart Disease)
33382,Heart Failure
31925,Heart Failure
15092,Acute Myocardial Infarction (Heart Attack)
22002,Heart Failure
11131,Acute Myocardial Infarction (Heart Attack)
26580,Heart Failure
29622,Heart Failure
40015,Stroke
38312,Heart Failure
36422,Stroke
31974,Heart Failure
27442,Heart Failure
12169,Acute Myocardial Infarction (Heart Attack)
34914,Heart Failure
29342,Heart Failure
16765,Coronary Heart Disease
9731,Acute Myocardial Infarction (Heart Attack)
17524,Coronary Heart Disease
37706,Heart Failure
33592,Heart Failure
21121,Heart Failure
14151,Coronary Heart Disease
31232,Heart Failure
22128,Heart Failure
3696,Major Cardiovascular Disease
5972,Diseases of the Heart (Heart Disease)
5478,Diseases of the Heart (Heart Disease)
5985,Major Cardiovascular Disease
31963,Heart Failure
17954,Heart Failure
30158,Heart Failure
39295,Stroke
7343,Diseases of the Heart (Heart Disease)
36191,Heart Failure
7477,Diseases of the Heart (Heart Disease)
40640,Stroke
21149,Heart Failure
2199,Major Cardiovascular Disease
23252,Heart Failure
10521,Acute Myocardial Infarction (Heart Attack)
4849,Major Cardiovascular Disease
40273,Stroke
7164,Diseases of the Heart (Heart Disease)
41424,Stroke
11436,Acute Myocardial Infarction (Heart Attack)
38721,Stroke
30230,Heart Failure
9894,Acute Myocardial Infarction (Heart Attack)
12900,Acute Myocardial Infarction (Heart Attack)
37419,Heart Failure
26296,Heart Failure
3982,Major Cardiovascular Disease
17133,Coronary Heart Disease
3776,Major Cardiovascular Disease
3461,Major Cardiovascular Disease
13158,Acute Myocardial Infarction (Heart Attack)
3239,Major Cardiovascular Disease
35402,Heart Failure
6145,Major Cardiovascular Disease
32064,Heart Failure
19413,Heart Failure
13598,Coronary Heart Disease
8678,Diseases of the Heart (Heart Disease)
33209,Heart Failure
42361,Stroke
27151,Heart Failure
27131,Heart Failure
11171,Acute Myocardial Infarction (Heart Attack)
15253,Coronary Heart Disease
37635,Heart Failure
1817,Major Cardiovascular Disease
34819,Heart Failure
16104,Coronary Heart Disease
16537,Coronary Heart Disease
23869,Heart Failure
8532,Diseases of the Heart (Heart Disease)
23701,Heart Failure
8511,Diseases of the Heart (Heart Disease)
20555,Heart Failure
33735,Heart Failure
23379,Heart Failure
32540,Heart Failure
39338,Stroke
36426,Heart Failure
26935,Heart Failure
5152,Diseases of the Heart (Heart Disease)
40054,Stroke
33062,Heart Failure
37672,Heart Failure
4079,Major Cardiovascular Disease
18352,Heart Failure
18386,Heart Failure
9455,Acute Myocardial Infarction (Heart Attack)
20735,Heart Failure
3462,Major Cardiovascular Disease
13295,Acute Myocardial Infarction (Heart Attack)
7586,Diseases of the Heart (Heart Disease)
22741,Heart Failure
37242,Heart Failure
33278,Heart Failure
31723,Heart Failure
32129,Heart Failure
39102,Stroke
15378,Acute Myocardial Infarction (Heart Attack)
5582,Diseases of the Heart (Heart Disease)
36932,Heart Failure
39992,Stroke
15348,Acute Myocardial Infarction (Heart Attack)
13404,Coronary Heart Disease
29434,Heart Failure
41641,Stroke
31362,Heart Failure
41356,Stroke
34236,Heart Failure
14136,Acute Myocardial Infarction (Heart Attack)
29978,Heart Failure
10446,Acute Myocardial Infarction (Heart Attack)
430,Major Cardiovascular Disease
41661,Stroke
24634,Heart Failure
34556,Heart Failure
38603,Stroke
35884,Heart Failure
5592,Diseases of the Heart (Heart Disease)
26052,Heart Failure
21321,Heart Failure
14033,Coronary Heart Disease
16155,Coronary Heart Disease
38539,Stroke
15368,Coronary Heart Disease
19599,Heart Failure
11625,Acute Myocardial Infarction (Heart Attack)
4975,Diseases of the Heart (Heart Disease)
3124,Major Cardiovascular Disease
17185,Coronary Heart Disease
4184,Major Cardiovascular Disease
2491,Major Cardiovascular Disease
1210,Major Cardiovascular Disease
20131,Heart Failure
16577,Coronary Heart Disease
28420,Heart Failure
39740,Stroke
8134,Diseases of the Heart (Heart Disease)
35459,Heart Failure
1827,Major Cardiovascular Disease
12968,Acute Myocardial Infarction (Heart Attack)
9723,Acute Myocardial Infarction (Heart Attack)
19774,Heart Failure
7185,Diseases of the Heart (Heart Disease)
24417,Heart Failure
13910,Coronary Heart Disease
22221,Heart Failure
14524,Acute Myocardial Infarction (Heart Attack)
79,Major Cardiovascular Disease
37993,Stroke
40362,Stroke
26108,Heart Failure
8952,Acute Myocardial Infarction (Heart Attack)
28879,Heart Failure
16037,Coronary Heart Disease
23590,Heart Failure
22171,Heart Failure
23313,Heart Failure
27223,Heart Failure
2739,Major Cardiovascular Disease
35260,Heart Failure
34377,Heart Failure
6889,Diseases of the Heart (Heart Disease)
13686,Coronary Heart Disease
22938,Heart Failure
5060,Diseases of the Heart (Heart Disease)
10340,Acute Myocardial Infarction (Heart Attack)
4339,Diseases of the Heart (Heart Disease)
8999,Diseases of the Heart (Heart Disease)
30306,Heart Failure
24837,Heart Failure
40738,Stroke
37542,Heart Failure
8228,Diseases of the Heart (Heart Disease)
11103,Acute Myocardial Infarction (Heart Attack)
30484,Heart Failure
31786,Heart Failure
36202,Heart Failure
22747,Heart Failure
6717,Diseases of the Heart (Heart Disease)
538,Major Cardiovascular Disease
37748,Heart Failure
20310,Heart Failure
5086,Diseases of the Heart (Heart Disease)
35833,Heart Failure
23294,Heart Failure
8340,Diseases of the Heart (Heart Disease)
14090,Coronary Heart Disease
35787,Heart Failure
12736,Acute Myocardial Infarction (Heart Attack)
22170,Heart Failure
42114,Stroke
28056,Heart Failure
11168,Acute Myocardial Infarction (Heart Attack)
17231,Coronary Heart Disease
34323,Heart Failure
20768,Heart Failure
6596,Diseases of the Heart (Heart Disease)
14589,Coronary Heart Disease
31282,Heart Failure
359,Major Cardiovascular Disease
21969,Heart Failure
24025,Heart Failure
14766,Coronary Heart Disease
23306,Heart Failure
40984,Stroke
27471,Heart Failure
28603,Heart Failure
24639,Heart Failure
25598,Heart Failure
24676,Heart Failure
29903,Heart Failure
4741,Major Cardiovascular Disease
7751,Diseases of the Heart (Heart Disease)
22578,Heart Failure
155,Major Cardiovascular Disease
42527,Stroke
25220,Heart Failure
19072,Heart Failure
21127,Heart Failure
30168,Heart Failure
2401,Major Cardiovascular Disease
34616,Heart Failure
33554,Heart Failure
16555,Coronary Heart Disease
17160,Coronary Heart Disease
27437,Heart Failure
29453,Heart Failure
20213,Heart Failure
36580,Heart Failure
18491,Heart Failure
8258,Diseases of the Heart (Heart Disease)
35935,Heart Failure
3102,Major Cardiovascular Disease
9833,Acute Myocardial Infarction (Heart Attack)
7897,Diseases of the Heart (Heart Disease)
24082,Heart Failure
36100,Heart Failure
5709,Major Cardiovascular Disease
8269,Diseases of the Heart (Heart Disease)
4273,Major Cardiovascular Disease
41941,Stroke
97,Major Cardiovascular Disease
17660,Coronary Heart Disease
27303,Heart Failure
10774,Acute Myocardial Infarction (Heart Attack)
33205,Heart Failure
31132,Heart Failure
14627,Coronary Heart Disease
36512,Stroke
25347,Heart Failure
2982,Major Cardiovascular Disease
7350,Diseases of the Heart (Heart Disease)
35372,Heart Failure
19946,Heart Failure
10992,Acute Myocardial Infarction (Heart Attack)
4421,Diseases of the Heart (Heart Disease)
1631,Major Cardiovascular Disease
31930,Heart Failure
13802,Coronary Heart Disease
9,Stroke
16681,Coronary Heart Disease
39974,Stroke
33741,Heart Failure
2466,Major Cardiovascular Disease
21718,Heart Failure
12432,Acute Myocardial Infarction (Heart Attack)
18908,Heart Failure
37267,Heart Failure
19268,Coronary Heart Disease
11846,Acute Myocardial Infarction (Heart Attack)
6402,Diseases of the Heart (Heart Disease)
27564,Heart Failure
31158,Heart Failure
34773,Heart Failure
8660,Acute Myocardial Infarction (Heart Attack)
22162,Heart Failure
6066,Diseases of the Heart (Heart Disease)
39118,Stroke
37911,Heart Failure
35244,Heart Failure
36555,Heart Failure
35583,Heart Failure
40699,Stroke
42037,Stroke
1006,Major Cardiovascular Disease
184,Major Cardiovascular Disease
3031,Major Cardiovascular Disease
12714,Acute Myocardial Infarction (Heart Attack)
38542,Stroke
5589,Diseases of the Heart (Heart Disease)
26992,Heart Failure
25405,Heart Failure
25577,Heart Failure
36635,Stroke
32888,Heart Failure
29538,Heart Failure
30650,Heart Failure
4972,Major Cardiovascular Disease
1027,Major Cardiovascular Disease
3172,Major Cardiovascular Disease
34517,Heart Failure
10406,Acute Myocardial Infarction (Heart Attack)
7720,Diseases of the Heart (Heart Disease)
5880,Diseases of the Heart (Heart Disease)
18284,Coronary Heart Disease
29842,Heart Failure
35377,Heart Failure
9653,Acute Myocardial Infarction (Heart Attack)
12951,Acute Myocardial Infarction (Heart Attack)
33494,Heart Failure
9883,Diseases of the Heart (Heart Disease)
42295,Stroke
10948,Acute Myocardial Infarction (Heart Attack)
11677,Acute Myocardial Infarction (Heart Attack)
17601,Coronary Heart Disease
42299,Stroke
20484,Heart Failure
5428,Diseases of the Heart (Heart Disease)
32860,Heart Failure
10011,Diseases of the Heart (Heart Disease)
11063,Acute Myocardial Infarction (Heart Attack)
6947,Diseases of the Heart (Heart Disease)
30813,Heart Failure
5984,Diseases of the Heart (Heart Disease)
16158,Coronary Heart Disease
3427,Major Cardiovascular Disease
1202,Major Cardiovascular Disease
3019,Major Cardiovascular Disease
10562,Acute Myocardial Infarction (Heart Attack)
10851,Acute Myocardial Infarction (Heart Attack)
32799,Heart Failure
22944,Heart Failure
39217,Stroke
29157,Heart Failure
38325,Heart Failure
3245,Major Cardiovascular Disease
24138,Heart Failure
40141,Stroke
31244,Heart Failure
15939,Coronary Heart Disease
7277,Diseases of the Heart (Heart Disease)
4999,Diseases of the Heart (Heart Disease)
29224,Heart Failure
8963,Diseases of the Heart (Heart Disease)
35800,Heart Failure
14884,Acute Myocardial Infarction (Heart Attack)
10399,Acute Myocardial Infarction (Heart Attack)
16503,Coronary Heart Disease
801,Major Cardiovascular Disease
9969,Diseases of the Heart (Heart Disease)
22035,Heart Failure
41177,Stroke
10524,Acute Myocardial Infarction (Heart Attack)
22553,Heart Failure
2998,Major Cardiovascular Disease
19629,Coronary Heart Disease
35226,Heart Failure
12297,Acute Myocardial Infarction (Heart Attack)
11811,Acute Myocardial Infarction (Heart Attack)
5715,Diseases of the Heart (Heart Disease)
9934,Acute Myocardial Infarction (Heart Attack)
8645,Diseases of the Heart (Heart Disease)
16360,Coronary Heart Disease
16426,Coronary Heart Disease
39379,Stroke
6899,Diseases of the Heart (Heart Disease)
23104,Heart Failure
40652,Stroke
11082,Acute Myocardial Infarction (Heart Attack)
22075,Heart Failure
10767,Acute Myocardial Infarction (Heart Attack)
28671,Heart Failure
19515,Coronary Heart Disease
29427,Heart Failure
41605,Stroke
2302,Major Cardiovascular Disease
35840,Heart Failure
28131,Heart Failure
34361,Heart Failure
13652,Coronary Heart Disease
36966,Heart Failure
27909,Heart Failure
4092,Major Cardiovascular Disease
36284,Heart Failure
11545,Acute Myocardial Infarction (Heart Attack)
22320,Heart Failure
22131,Heart Failure
33054,Heart Failure
12407,Acute Myocardial Infarction (Heart Attack)
13336,Acute Myocardial Infarction (Heart Attack)
12597,Acute Myocardial Infarction (Heart Attack)
7449,Diseases of the Heart (Heart Disease)
19135,Heart Failure
34353,Heart Failure
13712,Coronary Heart Disease
12440,Acute Myocardial Infarction (Heart Attack)
38975,Stroke
27679,Heart Failure
4137,Major Cardiovascular Disease
19772,Coronary Heart Disease
16218,Coronary Heart Disease
16624,Coronary Heart Disease
33435,Heart Failure
22678,Heart Failure
41178,Stroke
32364,Heart Failure
37035,Heart Failure
4560,Diseases of the Heart (Heart Disease)
30694,Heart Failure
9644,Diseases of the Heart (Heart Disease)
18452,Heart Failure
920,Major Cardiovascular Disease
16695,Coronary Heart Disease
17865,Heart Failure
38238,Stroke
34516,Heart Failure
14839,Coronary Heart Disease
10713,Acute Myocardial Infarction (Heart Attack)
21278,Heart Failure
29942,Heart Failure
13609,Acute Myocardial Infarction (Heart Attack)
