,Year,LocationDesc,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,GeoLocation
10201,2006,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.3,3.3,3.3,3.3,Gender,Male,
10322,2004,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.8,3.8,3.7,3.8,Gender,Male,
10341,2006,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Race,Non-Hispanic White,
10350,2005,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.9,2.9,2.9,2.9,Age,65+,
10407,2013,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),15.5,15.5,15.4,15.6,Race,Other,
10496,2004,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Gender,Female,
10549,2012,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),15.6,15.6,15.5,15.8,Race,Hispanic,
10569,2006,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.6,2.7,Race,Hispanic,
10608,2004,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.4,2.4,2.4,2.4,Race,Non-Hispanic Black,
10620,2005,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.2,2.3,Race,Non-Hispanic Black,
10739,2005,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.5,2.5,2.5,2.5,Gender,Female,
10776,2013,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),18.7,18.7,18.6,18.7,Gender,Male,
10800,2006,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Age,75+,
10833,2013,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),17.4,17.4,17.3,17.4,Age,75+,
10870,2012,United States,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of all heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),15.8,15.8,15.8,15.8,Age,65+,
10942,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),9.7,9.7,9.7,9.7,Gender,Male,
11012,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.7,2.9,Race,Other,
11065,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.5,2.6,Race,Hispanic,
11180,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.1,2.1,2.1,2.1,Race,Non-Hispanic Black,
11242,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.6,2.7,Age,75+,
11331,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.2,3.2,3.2,3.2,Gender,Male,
11364,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Race,Non-Hispanic White,
11476,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Race,Non-Hispanic White,
11504,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Race,Non-Hispanic White,
11519,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.1,2.1,2.1,2.2,Race,Non-Hispanic Black,
11561,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.6,2.7,Age,65+,
11610,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.3,3.3,3.2,3.3,Gender,Male,
11654,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.2,3.2,3.1,3.2,Gender,Male,
11700,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.1,2.2,Race,Non-Hispanic Black,
11705,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.9,Race,Other,
11988,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.6,2.7,Age,75+,
12006,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.5,2.5,2.4,2.6,Race,Hispanic,
12031,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.7,2.8,Age,75+,
12060,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Age,65+,
12134,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.6,2.7,Age,65+,
12188,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.2,2.3,Gender,Female,
12205,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.2,2.2,Gender,Female,
12308,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.3,2.3,Gender,Female,
12325,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.5,2.7,Race,Hispanic,
12434,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.8,Race,Other,
12453,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Race,Non-Hispanic White,
12575,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.5,2.7,Race,Hispanic,
12624,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.2,2.2,Gender,Female,
12637,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.1,2.1,2.1,2.2,Race,Non-Hispanic Black,
12774,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.6,2.6,Age,65+,
12855,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.3,2.4,Gender,Female,
12873,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.2,3.2,3.2,3.2,Gender,Male,
12888,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.6,2.7,Age,65+,
12912,2009,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.5,2.5,2.4,2.6,Race,Hispanic,
12954,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.2,3.2,3.2,3.2,Gender,Male,
13068,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Age,75+,
13113,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Race,Non-Hispanic White,
13194,2010,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.7,2.9,Race,Other,
13249,2007,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.7,2.8,Race,Other,
13262,2008,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.2,2.2,2.1,2.2,Race,Non-Hispanic Black,
13291,2011,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.6,2.6,2.6,2.6,Age,75+,
13325,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.9,2.9,2.8,2.9,Age,65+,
13388,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.9,Race,Non-Hispanic White,
13486,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),9.0,9.0,8.9,9.1,Race,Other,
13489,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.6,5.6,5.5,5.6,Race,Non-Hispanic Black,
13571,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),10.3,10.3,10.3,10.3,Age,65+,
13650,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.2,7.2,7.0,7.3,Race,Hispanic,
13701,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.7,8.7,8.6,8.8,Race,Hispanic,
13803,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.7,Age,75+,
13840,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.0,7.0,7.0,7.0,Age,75+,
13851,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),9.7,9.7,9.6,9.7,Age,65+,
13861,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Age,65+,
13888,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.8,5.8,5.8,5.9,Gender,Female,
13890,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.7,2.8,Age,75+,
13966,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.0,3.0,2.9,3.0,Race,Other,
14109,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.8,6.8,6.8,6.8,Gender,Female,
14190,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.8,7.8,7.7,8.0,Race,Hispanic,
14203,2005,United States,Cardiovascular Diseases,Heart Failure,"Prevalence of heart failure hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.7,6.7,6.6,6.8,Race,Hispanic,
14246,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.2,6.2,6.1,6.2,Race,Non-Hispanic Black,
14320,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.2,6.2,6.2,6.3,Gender,Female,
14326,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.1,3.1,3.0,3.1,Race,Other,
14386,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.2,8.2,8.2,8.2,Race,Non-Hispanic White,
14416,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.6,2.7,Race,Hispanic,
14466,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.3,2.3,Gender,Female,
14473,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.4,8.4,8.3,8.5,Race,Other,
14480,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),10.9,10.9,10.9,10.9,Gender,Male,
14528,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.5,6.5,6.5,6.5,Age,75+,
14550,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.7,2.7,2.7,2.8,Race,Hispanic,
14646,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.4,3.4,3.4,3.4,Gender,Male,
14727,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.7,5.7,5.7,5.8,Race,Non-Hispanic Black,
14786,2005,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),10.3,10.3,10.3,10.3,Gender,Male,
14893,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.2,2.3,Race,Non-Hispanic Black,
14929,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.8,8.8,8.7,8.8,Race,Non-Hispanic White,
14949,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),9.2,9.2,9.1,9.2,Age,65+,
15121,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.3,2.3,Gender,Female,
15160,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.7,7.7,7.7,7.7,Race,Non-Hispanic White,
15220,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.4,3.4,3.3,3.4,Gender,Male,
15247,2013,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.3,2.3,2.3,2.4,Race,Non-Hispanic Black,
15314,2004,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.5,7.5,7.5,7.5,Age,75+,
15358,2012,United States,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),"Prevalence of heart attack hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),2.8,2.8,2.8,2.8,Race,Non-Hispanic White,
15547,2006,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.0,8.0,7.9,8.1,Race,Other,
15594,2007,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.6,6.6,6.4,6.7,Race,Hispanic,
15608,2010,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.1,5.1,5.1,5.1,Age,75+,
15784,2008,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.8,7.8,7.8,7.8,Age,65+,
15868,2009,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.1,7.1,7.1,7.1,Age,65+,
15987,2009,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.6,5.6,5.5,5.7,Race,Hispanic,
16016,2008,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.0,7.0,6.9,7.1,Race,Other,
16166,2007,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.4,7.4,7.3,7.5,Race,Other,
16169,2011,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.0,7.0,7.0,7.0,Gender,Male,
16174,2010,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.9,5.9,5.9,5.9,Race,Non-Hispanic White,
16282,2009,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.7,7.7,7.7,7.8,Gender,Male,
16292,2008,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.7,5.7,5.7,5.8,Age,75+,
16495,2009,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.7,4.7,4.7,4.7,Gender,Female,
16570,2007,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),5.5,5.5,5.4,5.5,Gender,Female,
16634,2010,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),7.4,7.4,7.4,7.5,Gender,Male,
16666,2009,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.6,4.6,4.6,4.6,Race,Non-Hispanic Black,
16783,2010,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.4,4.4,4.4,4.5,Gender,Female,
16815,2008,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.7,6.7,6.7,6.7,Race,Non-Hispanic White,
16849,2007,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.1,6.1,6.1,6.2,Age,75+,
16858,2010,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),6.3,6.3,6.2,6.4,Race,Other,
16982,2008,United States,Cardiovascular Diseases,Coronary Heart Disease,"Prevalence of coronary heart disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),8.4,8.4,8.4,8.4,Gender,Male,
